noun_w_buah_affixed1	noun_w_buah_affixed2	cossim
perusahaan	senyuman	0.11
perusahaan	keajaiban	0.2
perusahaan	paduan	0.23
perusahaan	perlombaan	0.29
perusahaan	perkumpulan	0.36
perusahaan	tautan	0.17
perusahaan	keharusan	0.39
perusahaan	pelukan	0.13
perusahaan	perpisahan	0.18
perusahaan	persidangan	0.18
perusahaan	rumusan	0.2
perusahaan	penyajian	0.28
perusahaan	nyanyian	0.12
perusahaan	kementerian	0.38
perusahaan	perkampungan	0.24
perusahaan	penanda	0.18
perusahaan	pengabdian	0.24
perusahaan	terobosan	0.31
perusahaan	suntikan	0.21
perusahaan	persimpangan	0.27
perusahaan	kritikan	0.19
perusahaan	pertemanan	0.29
perusahaan	kekosongan	0.2
perusahaan	percetakan	0.44
perusahaan	halangan	0.26
perusahaan	kutukan	0.14
perusahaan	perbincangan	0.2
perusahaan	kiriman	0.23
perusahaan	kebodohan	0.14
perusahaan	teriakan	0.12
perusahaan	kejelasan	0.27
perusahaan	pertengkaran	0.19
perusahaan	ajakan	0.19
perusahaan	kemewahan	0.25
perusahaan	pelarian	0.22
perusahaan	anjuran	0.19
perusahaan	pencitraan	0.28
perusahaan	ringkasan	0.28
perusahaan	akhiran	0.09
perusahaan	tontonan	0.17
perusahaan	kerinduan	0.09
perusahaan	jebakan	0.19
perusahaan	pengkhianatan	0.15
perusahaan	garapan	0.31
perusahaan	terusan	0.25
perusahaan	penegasan	0.2
perusahaan	kontrakan	0.28
perusahaan	cerminan	0.31
perusahaan	lompatan	0.24
perusahaan	renungan	0.1
perusahaan	pelataran	0.16
perusahaan	perempatan	0.22
perusahaan	rangkuman	0.21
perusahaan	ketukan	0.12
perusahaan	bisikan	0.09
perusahaan	bungkusan	0.17
perusahaan	kerumitan	0.24
perusahaan	pahatan	0.22
perusahaan	sindiran	0.1
perusahaan	kewajaran	0.23
perusahaan	penantian	0.17
perusahaan	pergelaran	0.2
perusahaan	meteran	0.2
perusahaan	tuturan	0.1
perusahaan	ujaran	0.08
perusahaan	penjepit	0.26
perusahaan	penggaris	0.19
perusahaan	tamparan	0.17
perusahaan	hantaman	0.17
perusahaan	layangan	0.22
perusahaan	gurauan	0.13
perusahaan	kelaziman	0.24
perusahaan	kemustahilan	0.2
perusahaan	penyerah	0.37
perjalanan	makanan	0.34
perjalanan	pendidikan	0.4
perjalanan	pemerintah	0.25
perjalanan	tujuan	0.54
perjalanan	kehidupan	0.53
perjalanan	hubungan	0.42
perjalanan	kegiatan	0.5
perjalanan	kecamatan	0.22
perjalanan	penilaian	0.33
perjalanan	kemampuan	0.32
perjalanan	lingkungan	0.36
perjalanan	kebutuhan	0.32
perjalanan	keadaan	0.43
perjalanan	pekerjaan	0.42
perjalanan	perubahan	0.37
perjalanan	permainan	0.34
perjalanan	pilihan	0.33
perjalanan	pertanyaan	0.33
perjalanan	penelitian	0.33
perjalanan	jaringan	0.3
perjalanan	pemerintahan	0.31
perjalanan	kekuatan	0.3
perjalanan	ukuran	0.29
perjalanan	tanaman	0.31
perjalanan	layanan	0.41
perjalanan	perkembangan	0.43
